condition,question,gold_answers,em_first_line,em_full,model_answer
oracle,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,1.0,1.0,The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen of Germany. [1]
oracle,when is the next deadpool movie being released,"May 18, 2018",0.0,0.0,"The next Deadpool movie, Deadpool 3, is currently in development. No specific release date has been provided in the available information."
oracle,the south west wind blows across nigeria between,till September,0.0,0.0,"The south west wind, also known as the Maritime tropical (south westerlies), blows across Nigeria starting from around April when the Intertropical Convergence Zone (ITCZ) moves northward. These winds bring heavy showers and pre-monsoonal rains to central Nigeria. The monsoon winds from the South Atlantic Ocean, which are part of the south west winds, arrive in central Nigeria in July, bringing high humidity, heavy cloud cover, and frequent rainfall. This period of south west winds continues"
oracle,what does hp mean in war and order,hit points or health points,1.0,1.0,"In the context of games like War and Order, ""HP"" stands for ""health points"" or ""hit points."" According to Document [1], health or vitality is an attribute assigned to entities such as player characters, enemies, or objects within a game, indicating their state in combat. HP is usually measured in hit points or health points. When a character's HP reaches zero, they may become incapacitated or die, and when an enemy's HP reaches zero, it is usually defeated. Therefore"
oracle,who wrote the first declaration of human rights,Cyrus,1.0,1.0,"The Cyrus Cylinder has often been referred to as the first declaration of universal human rights, particularly by Mohammad Reza Pahlavi, the last Shah of Iran, who promoted this view during the 20th century. However, some historians reject this interpretation as anachronistic and argue that the Cylinder is a typical statement made by a new monarch at the beginning of his reign, rather than a declaration of human rights in the modern sense. The text of the Cylinder, attributed to Cyrus the Great of"
oracle,who is the owner of reading football club,Xiu Li Dai|Dai Xiuli|Dai Yongge|Yongge Dai,1.0,1.0,"Reading Football Club is owned by Renhe Sports Management Ltd, which holds a 75% stake and is 100% owned by Xiu Li Dai and Yongge Dai. The remaining 25% is owned by Narin Niruttinanon.[1]"
oracle,when is the last time the philadelphia won the superbowl,"Super Bowl LII,|2017",1.0,1.0,The last time the Philadelphia Eagles won the Super Bowl was Super Bowl LII [1].
oracle,how many episodes are there in dragon ball z,291 episodes|291,1.0,1.0,"Dragon Ball Z has a total of 291 episodes in Japan. In the United States, it originally aired with 276 episodes, but all 291 episodes were later broadcast when content from the first 67 episodes was restored.[1]"
oracle,who designed the garden city of new earswick,planner Raymond Unwin|architect Barry Parker|Raymond Unwin,1.0,1.0,The garden city of New Earswick was designed by the planner Raymond Unwin and the architect Barry Parker. [1]
oracle,what is the first step in the evolution of the eye,photoreceptor proteins that sense light|eyespots,1.0,1.0,"The first step in the evolution of the eye was the development of photoreceptor proteins that sense light, found even in unicellular organisms as ""eyespots."" Eyespots can only sense ambient brightness, distinguishing light from dark, but cannot form images or determine the direction of light. This basic light sensitivity was sufficient for functions like photoperiodism and synchronization of circadian rhythms, and represents the earliest stage in eye evolution. (Document [1])"
oracle,where is the tv show the curse of oak island filmed,Oak Island,1.0,1.0,"The TV show ""The Curse of Oak Island"" is filmed on Oak Island, which is the site where the Lagina brothers search for treasure and historical artifacts. The series follows their efforts and investigations on the island itself, exploring areas such as the ""Money Pit,"" Borehole 10-x, Smith's Cove, ""Nolan's Cross,"" the ""Hatch,"" the ""Watchtower,"" and the ""Swamp"" [1]."
oracle,where is gall bladder situated in human body,beneath the liver,1.0,1.0,"The gallbladder in humans is a small, hollow, pear-shaped organ that lies beneath the liver. It stores and concentrates bile produced by the liver before releasing it into the small intestine to aid in the digestion of fats [1]."
oracle,who is the current director of the us mint,David J. Ryder|David Motl,1.0,1.0,"The position of Director of the United States Mint is currently vacant. Since January 20, 2017, the senior career official at the Mint has been Acting Principal Deputy Director David Motl. [1]"
oracle,what is the main mineral in lithium batteries,Lithium|lithium,1.0,1.0,"The main mineral in lithium batteries is lithium, which is used in the form of lithium or its compounds as the anode in both rechargeable (such as lithium-ion) and disposable lithium batteries. Lithium's high electrode potential and low atomic mass make it especially suitable for battery applications, providing a high charge- and power-to-weight ratio and enabling lithium-ion batteries to generate approximately 3 volts per cell, higher than many other battery types.[1]"
oracle,right to property according to the constitution of india is a,constitutional right,1.0,1.0,"According to the Constitution of India, the right to property is no longer a fundamental right, though it is still a constitutional right. If the government appears to have acted unfairly in depriving a person of property, the action can be challenged in a court of law by aggrieved citizens, but there is no obligation on the part of the State to pay compensation, and the aggrieved person does not have the right to move the court under Article 32.   [Document 1]"
oracle,who is the president of usa right now,Donald Trump,1.0,1.0,"According to the provided information, Donald Trump is the 45th and current president of the United States, having been inaugurated on January 20, 2017 [1]."
