condition,question,gold_answers,em_first_line,em_full,model_answer
oracle,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,1.0,1.0,"Based on the provided search results, the first Nobel Prize in Physics was awarded in **1901** to **Wilhelm Conrad Röntgen** of Germany. He received **150,782 SEK** for this honor, which is equal to 7,731,004 SEK in December 2007."
oracle,when is the next deadpool movie being released,"May 18, 2018",1.0,1.0,"Based on the search results, **Deadpool 2** is scheduled to be released in the United States on **May 18, 2018**. Additionally, a sequel, **Deadpool 3**, is mentioned to be in development, though no specific release date is provided for that film."
oracle,the south west wind blows across nigeria between,till September,0.0,1.0,"## South West Wind in Nigeria  Based on the provided search results, the south west wind (Maritime tropical/south westerlies) blows across Nigeria as part of the monsoon system originating from the **South Atlantic Ocean**. The monsoons arrive in central Nigeria in **July**, bringing high humidity, heavy cloud cover, and heavy rainfall, which can be a daily occurrence **lasting till September**, when the monsoons gradually begin retreating southward to the southern part of Nigeria."
oracle,what does hp mean in war and order,hit points or health points,0.0,0.0,"## HP in War and Order  Based on the provided information, **HP stands for ""Hit Points""** (also referred to as **Health Points**). In gaming contexts like War and Order, HP is a measure of **health or vitality** assigned to characters, units, or entities within the game.  Specifically, HP indicates an entity's **state in combat**:  - When a unit's HP reaches **zero**, that unit may be **defeated or die** -"
oracle,who wrote the first declaration of human rights,Cyrus,1.0,1.0,"## The Cyrus Cylinder and the First Declaration of Human Rights  Based on the provided search results, **Cyrus the Great** (also known as Cyrus II of Persia) is associated with what has been called the first declaration of human rights. The **Cyrus Cylinder**, an ancient artifact, was referred to by **Mohammad Reza Pahlavi**, the last Shah of Iran, as the **""first declaration of universal human rights.""**"
oracle,who is the owner of reading football club,Xiu Li Dai|Dai Xiuli|Dai Yongge|Yongge Dai,0.0,1.0,"Based on the provided search results, **Reading Football Club** is owned by the following:  - **75%** of the club is owned by **Renhe Sports Management Ltd**, which is 100% owned by **Xiu Li Dai** and **Yongge Dai**. - **25%** of the club is owned by **Narin Niruttinanon**.  So the majority owners of Reading Football Club are **Xiu Li"
oracle,when is the last time the philadelphia won the superbowl,"Super Bowl LII,|2017",0.0,1.0,"## Philadelphia Eagles' Last Super Bowl Win  The Philadelphia Eagles last won the Super Bowl in **Super Bowl LII** (Super Bowl 52). This was their **fourth NFL title overall**, following previous championships in **1948, 1949, and 1960**."
oracle,how many episodes are there in dragon ball z,291 episodes|291,0.0,1.0,"## Dragon Ball Z Episodes  Based on the search results, Dragon Ball Z ran for a total of **291 episodes** in Japan. The anime adaptation premiered on **April 26, 1989** on Fuji Television and ran until **January 31, 1996**.  In the United States, the series originally aired **276 episodes**, though all 291 episodes were eventually broadcast when content from the first 67 episodes was restored."
oracle,who designed the garden city of new earswick,planner Raymond Unwin|architect Barry Parker|Raymond Unwin,1.0,1.0,"Based on the search results, the garden city of New Earswick was designed by planner **Raymond Unwin** and architect **Barry Parker**, who were commissioned by Joseph Rowntree to produce an overall plan for the new 'garden' village as well as the detailed designs for its first houses. Notably, Unwin and Parker also designed the garden cities of **Letchworth** and **Welwyn Garden City**."
oracle,what is the first step in the evolution of the eye,photoreceptor proteins that sense light|eyespots,0.0,1.0,"## First Step in the Evolution of the Eye  Based on the provided search results, the first step in the evolution of the eye was the development of **photoreceptor proteins that sense light**, which led to the formation of **eyespots** (also called ""stigma"" in some organisms).  ### Key Characteristics of Eyespots: - Found even in **unicellular organisms** - Could only sense **ambient brightness** — distinguishing light from dark"
oracle,where is the tv show the curse of oak island filmed,Oak Island,1.0,1.0,"Based on the search results, **The Curse of Oak Island** is filmed on **Oak Island** itself. The show follows brothers Marty and Rick Lagina (originally from **Kingsford, Michigan**) through their efforts to find treasure and historical artifacts believed to be on **Oak Island**. The filming takes place at various locations on the island, including areas of interest such as the ""Money Pit,"" Borehole 10-x, Smith's"
oracle,where is gall bladder situated in human body,beneath the liver,0.0,1.0,"## Location of the Gallbladder in the Human Body  Based on the provided information, in the human body, the **gallbladder is situated beneath the liver**. It is a **small, hollow, pear-shaped organ** located in the abdominal region.  ### Key Facts about its Position and Function: - It lies **beneath the liver** - It receives and stores **bile produced by the liver** via the **common hepatic duct"
