condition,question,gold_answers,em_first_line,em_full,model_answer
oracle,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,1.0,1.0,"Based solely on the provided search results, the first Nobel Prize in Physics was awarded to Wilhelm Conrad Röntgen of Germany in 1901."
oracle,when is the next deadpool movie being released,"May 18, 2018",1.0,1.0,"Based solely on the provided search results, the next Deadpool movie is **Deadpool 2**, which is scheduled to be released in the United States on **May 18, 2018**. The document also mentions that a sequel, *Deadpool 3*, is in development, but no release date is given for that film."
oracle,the south west wind blows across nigeria between,till September,0.0,0.0,"Based solely on the provided document, the south west wind (Maritime tropical) blows across Nigeria as part of the interactions that begin in central Nigeria in April, with the monsoons arriving in central Nigeria in July."
oracle,what does hp mean in war and order,hit points or health points,1.0,1.0,"Based solely on the provided search results, ""HP"" in the context of a game like War and Order stands for **hit points or health points**. It is an attribute that indicates the state of a player character, enemy, or object in combat. When HP reaches zero, the entity may be defeated or die."
oracle,who wrote the first declaration of human rights,Cyrus,1.0,1.0,"Based solely on the provided search results, the Cyrus Cylinder has been referred to by Mohammad Reza Pahlavi as the first declaration of universal human rights, though this view is rejected by some historians. The text does not name a specific author for this declaration."
oracle,who is the owner of reading football club,Xiu Li Dai|Dai Xiuli|Dai Yongge|Yongge Dai,1.0,1.0,"Based solely on the provided search result, the owner of Reading Football Club is **Xiu Li Dai and Yongge Dai**, who own 75% of the club through Renhe Sports Management Ltd, with the remaining 25% owned by Narin Niruttinanon."
oracle,when is the last time the philadelphia won the superbowl,"Super Bowl LII,|2017",1.0,1.0,"Based solely on the provided search results, the Philadelphia Eagles last won the Super Bowl when they won Super Bowl LII."
oracle,how many episodes are there in dragon ball z,291 episodes|291,1.0,1.0,"Based solely on the provided search results, there are **291 episodes** in Japan, and **276 episodes** in the United States originally, although all 291 episodes were later broadcast when content from the first 67 episodes was restored [1]."
oracle,who designed the garden city of new earswick,planner Raymond Unwin|architect Barry Parker|Raymond Unwin,1.0,1.0,"Based solely on the provided search results, the garden city of New Earswick was designed by the planner Raymond Unwin and the architect Barry Parker."
oracle,what is the first step in the evolution of the eye,photoreceptor proteins that sense light|eyespots,1.0,1.0,"Based solely on the provided search results, the first step in the evolution of the eye was the development of photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots"" [1]."
oracle,where is the tv show the curse of oak island filmed,Oak Island,1.0,1.0,"Based on the provided search results, the TV show *The Curse of Oak Island* is filmed on **Oak Island**."
oracle,where is gall bladder situated in human body,beneath the liver,1.0,1.0,"Based on the provided search results, the gallbladder in humans is situated beneath the liver."
oracle,who is the current director of the us mint,David J. Ryder|David Motl,1.0,1.0,"Based solely on the provided search results, the position of Director of the United States Mint is currently vacant. The document states that since January 20, 2017, the senior career official at the Mint has been Acting Principal Deputy Director David Motl."
oracle,what is the main mineral in lithium batteries,Lithium|lithium,1.0,1.0,"Based solely on the provided search results, the document does not specify a ""main mineral"" in lithium batteries. It discusses lithium as a component of battery electrolytes and electrodes, and mentions different types of batteries (lithium-ion, lithium-ion polymer, lithium iron phosphate), but it does not identify a specific mineral."
oracle,right to property according to the constitution of india is a,constitutional right,1.0,1.0,"Based solely on the provided document, the right to property according to the constitution of India is **no longer a fundamental right, though it is still a constitutional right**."
oracle,who is the president of usa right now,Donald Trump,1.0,1.0,"Based solely on the provided search result, the president of the USA right now is Donald Trump."
oracle,what part of the brain is in the middle cranial fossa,pituitary gland|the temporal lobes|the pituitary gland|temporal lobes,1.0,1.0,"Based solely on the provided search result, the part of the brain in the middle cranial fossa is the **temporal lobes** (and the pituitary gland)."
oracle,where do the greasers live in the outsiders,"Tulsa, Oklahoma",1.0,1.0,"Based solely on the provided search result, the greasers in *The Outsiders* live in Tulsa, Oklahoma, in 1965."
oracle,who died in the plane crash greys anatomy,Dr. Lexie Grey|Lexie,1.0,1.0,"Based solely on the provided search results, Dr. Lexie Grey (Chyler Leigh) died in the plane crash on *Grey's Anatomy*."
oracle,where do they grow hops in the us,"Yakima (Washington)|Idaho|Washington|western Canyon County, Idaho|Willamette (Oregon)|Oregon",1.0,1.0,"Based on the provided search results, hops in the US are grown in the **Yakima (Washington) and Willamette (Oregon) valleys, and western Canyon County, Idaho** (including the communities of Parma, Wilder, Greenleaf, and Notus)."
oracle,what's the dog's name on tom and jerry,Spike,1.0,1.0,"Based on the provided search results, the dog's name on *Tom and Jerry* is **Spike**. He is also occasionally referred to as Butch or Killer."
oracle,in which regions are most of africa petroleum and natural gas found,Nigeria,1.0,1.0,"Based solely on the provided search results, the document states that Nigeria is the largest oil and gas producer in Africa, with crude oil coming from the delta basin. Therefore, according to this information, most of Africa's petroleum and natural gas are found in the **delta basin** region of **Nigeria**."
oracle,in which sea pearl is found in india,the Indian Ocean,1.0,1.0,"Based solely on the provided search results, pearls are found in the **Indian Ocean** in areas such as the **Gulf of Mannar**, which is located near India."
oracle,how many countries are a part of opec,14,1.0,1.0,"Based solely on the provided search results, as of February 2018, OPEC is an intergovernmental organization of **14 nations**."
oracle,what type of car is a jeep considered,off-road vehicles|light utility vehicles|sport utility vehicles,1.0,1.0,"Based solely on the provided search results, a Jeep is considered a **sport utility vehicle and off-road vehicle**. The document states that ""Jeep's current product range consists solely of sport utility vehicles and off-road vehicles."""
oracle,what is the name of manchester united stadium,Old Trafford,1.0,1.0,"Based solely on the provided search results, the name of Manchester United's stadium is **Old Trafford**."
oracle,who sings the theme song for the proud family,Destiny's Child|Solange Knowles,1.0,1.0,"Based solely on the provided document, the theme song for *The Proud Family* is performed by Destiny's Child and Solange Knowles."
oracle,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis|Rob Davis|Cathy Dennis,1.0,1.0,"Based on the provided search results, the lyrics for ""Can't Get You Out of My Head"" were jointly written by Cathy Dennis and Rob Davis."
oracle,who may be affected by monetary penalties imposed by the irs,Taxpayers in the United States,1.0,1.0,"Based solely on the provided search results, taxpayers in the United States may be affected by monetary penalties imposed by the IRS."
oracle,who turned out to be the mother on how i met your mother,Tracy McConnell,1.0,1.0,"Based on the provided search results, Tracy McConnell, played by Cristin Milioti, turned out to be the mother on *How I Met Your Mother*."
oracle,what is the corporate tax rate in great britain,20%,1.0,1.0,"Based solely on the provided search results, the corporate tax rate in Great Britain (as part of the United Kingdom) was a flat rate of **20%** as of April 2015."
oracle,what is the meaning of the name sinead,God forgave/God gratified,1.0,1.0,"Based on the provided search results, the name Sinéad is an Irish feminine name derived from the French Jeanette, which is cognate to the English Janet. It is itself a feminine form of the Hebrew Yohannan, meaning ""God forgave/God gratified."""
oracle,what network is showing the monday night football game,ESPN,1.0,1.0,"Based solely on the provided search results, the network showing the Monday Night Football game is **ESPN**. The document states that ""ESPN Monday Night Football... is a live television broadcast of weekly National Football League (NFL) games on ESPN in the United States."""
oracle,what is the form of mozart symphony no 40,G minor|minor key symphonies,1.0,1.0,"Based solely on the provided search result, the document does not specify the musical form (such as sonata form, minuet and trio, etc.) of Mozart's Symphony No. 40. It only states that the symphony was written in 1788 and is in G minor."
oracle,what was the city of beijing previously known as,Peking,1.0,1.0,"Based solely on the provided document, the city of Beijing was previously known as **Peking**."
oracle,when is the fourth movie of the divergent series coming out,never made,1.0,1.0,"Based solely on the provided search results, the fourth movie of the Divergent series, *The Divergent Series: Ascendant*, was never made. Therefore, it does not have a release date."
