model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
deepseek:deepseek-chat,500,0,100,0,0.62,0.74,0.52,0.71,0.65,0.82,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
deepseek:deepseek-chat,500,55,100,0,0.5,0.65,0.4,0.6,0.5597500000000003,0.74,0,-0.12,-0.19999999999999996,-0.04999999999999993,True,-0.08999999999999997,-0.16000000000000003,-0.029999999999999916,True
deepseek:deepseek-chat,500,111,100,0,0.49,0.66,0.39,0.59,0.56,0.75,0,-0.13,-0.21000000000000002,-0.05999999999999994,True,-0.07999999999999996,-0.15000000000000002,-0.010000000000000009,True
deepseek:deepseek-chat,500,166,100,0,0.5,0.67,0.4,0.6,0.58,0.76,0,-0.12,-0.2,-0.040000000000000036,True,-0.06999999999999995,-0.15000000000000002,0.0,False
deepseek:deepseek-chat,500,222,100,0,0.51,0.63,0.41,0.61,0.53,0.72,0,-0.10999999999999999,-0.19,-0.030000000000000027,True,-0.10999999999999999,-0.19000000000000006,-0.030000000000000027,True
deepseek:deepseek-chat,500,277,100,0,0.49,0.65,0.39,0.59,0.56,0.74,0,-0.13,-0.20000000000000007,-0.06,True,-0.08999999999999997,-0.16999999999999993,-0.020000000000000018,True
deepseek:deepseek-chat,500,333,100,0,0.51,0.66,0.41,0.61,0.56,0.75,0,-0.10999999999999999,-0.18000000000000005,-0.040000000000000036,True,-0.07999999999999996,-0.16000000000000003,-0.009999999999999898,True
deepseek:deepseek-chat,500,388,100,0,0.5,0.64,0.4,0.6,0.54,0.73,0,-0.12,-0.19999999999999996,-0.04999999999999993,True,-0.09999999999999998,-0.17999999999999994,-0.029999999999999916,True
deepseek:deepseek-chat,500,444,100,0,0.47,0.63,0.37,0.57,0.53,0.73,0,-0.15000000000000002,-0.23000000000000004,-0.07000000000000006,True,-0.10999999999999999,-0.18999999999999995,-0.030000000000000027,True
deepseek:deepseek-chat,500,499,100,0,0.53,0.69,0.43,0.63,0.6,0.78,0,-0.08999999999999997,-0.17000000000000004,-0.010000000000000009,True,-0.050000000000000044,-0.13,0.030000000000000027,False
