condition,question,gold_answers,em_first_line,em_full,model_answer
oracle,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,1.0,1.0,The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen.
oracle,when is the next deadpool movie being released,"May 18, 2018",1.0,1.0,"The next Deadpool movie, Deadpool 3, is in development. Deadpool 2 was released on May 18, 2018."
oracle,the south west wind blows across nigeria between,till September,0.0,0.0,The south west wind blows across Nigeria between April and September.
oracle,what does hp mean in war and order,hit points or health points,1.0,1.0,"This question cannot be answered from the given source. The provided document explains what HP (hit points or health points) means in the context of role-playing or video games generally, but it does not specifically mention ""War and Order."""
oracle,who wrote the first declaration of human rights,Cyrus,1.0,1.0,"The Cyrus Cylinder has been referred to by Mohammad Reza Pahlavi, the last Shah of Iran, as the first declaration of universal human rights. However, this view is rejected by some historians as anachronistic and a misunderstanding of the Cylinder's generic nature as a typical statement made by a new monarch at the beginning of his reign."
oracle,who is the owner of reading football club,Xiu Li Dai|Dai Xiuli|Dai Yongge|Yongge Dai,1.0,1.0,"Reading Football Club is 75% owned by Renhe Sports Management Ltd, which is 100% owned by Xiu Li Dai and Yongge Dai. The remaining 25% is owned by Narin Niruttinanon."
oracle,when is the last time the philadelphia won the superbowl,"Super Bowl LII,|2017",1.0,1.0,The last time the Philadelphia Eagles won the Super Bowl was Super Bowl LII.
oracle,how many episodes are there in dragon ball z,291 episodes|291,1.0,1.0,"There are 291 episodes of Dragon Ball Z in Japan. The United States originally broadcast 276 episodes, but all 291 episodes were later broadcast."
oracle,who designed the garden city of new earswick,planner Raymond Unwin|architect Barry Parker|Raymond Unwin,1.0,1.0,The garden village of New Earswick was designed by Raymond Unwin and Barry Parker.
oracle,what is the first step in the evolution of the eye,photoreceptor proteins that sense light|eyespots,1.0,1.0,"The first step in the evolution of the eye was the development of photoreceptor proteins that sense light, known as ""eyespots."" These eyespots, found even in unicellular organisms like euglena, can distinguish between light and dark, which is sufficient for photoperiodism and synchronizing circadian rhythms. However, they cannot distinguish shapes or determine the direction of light."
oracle,where is the tv show the curse of oak island filmed,Oak Island,1.0,1.0,The TV show *The Curse of Oak Island* is filmed on Oak Island.
oracle,where is gall bladder situated in human body,beneath the liver,1.0,1.0,"In humans, the pear-shaped gallbladder lies beneath the liver."
oracle,who is the current director of the us mint,David J. Ryder|David Motl,1.0,1.0,"The position of Director of the United States Mint is currently vacant. The senior career official at the Mint since January 20, 2017, has been Acting Principal Deputy Director David Motl."
oracle,what is the main mineral in lithium batteries,Lithium|lithium,1.0,1.0,"This question cannot be answered from the given source. The provided document discusses lithium's role in batteries and different types of lithium batteries, but it does not mention the main mineral used in them."
